SubjID, LLatVent,RLatVent,Lthal,Rthal,Lcaud,Rcaud,Lput,Rput,  Lpal,Rpal,Lhippo,Rhippo,Lamyg,Ramyg,Laccumb,Raccumb,ICV
Yale_50610,4146.8,3248,8272.1,7896.9,3213.6,3722.8,6690.3,5854.2,2553.6,2163.9,4606.6,4211.8,1205.1,1361.1,970.9,952.3,1.49837e+06
Yale_50611,4992.6,4077.7,7958.2,8657.3,3767.1,4511.2,7038.1,6620.3,2321.2,2016.9,4424.1,4478.5,1631,1798.8,1146.6,889.6,1.3262e+06
Yale_50612,5480.5,5943.7,7886.6,7944.4,4204.3,4494.4,7514.6,7204.5,1786.2,1851,4248.8,4261.2,1595.4,1703.4,991.4,896.6,1.48552e+06
Yale_50613,3374.2,2542.3,8211.2,7394.8,3484.2,3619,7877.8,7825.5,1632.2,1819.6,4723.8,4499.7,1751.5,2141.1,711.9,791.8,1.50549e+06
Yale_50614,7949.1,6573.7,5677.4,5822.4,3893.1,4147.7,6756.6,6776.2,1896.2,1515.6,4343.6,4367.7,1819.4,1964.9,884.7,779.8,1.41729e+06
Yale_50615,3420.8,2278.8,6027,5914.7,2919.3,3188.8,6084.6,5538.2,1428.9,1224.7,3821,3972.4,1381.2,1585.1,804.2,772.6,1.02967e+06
Yale_50616,2716.4,2255.8,6718.3,7366.7,3452.4,3372.5,7512.2,6969.8,1813.6,1702.2,4841.3,4512.3,2002.4,2487.3,867.8,805.7,1.49541e+06
Yale_50617,4460.9,3375.2,6250.2,6194.4,2640.4,3216.3,6987.3,6497.1,1835.4,1461.5,3866.1,3654.8,1309.9,1494.8,1273.4,780.1,1.16214e+06
Yale_50618,3684.4,2218.1,7275.5,7233.8,3322.3,3335.8,8715.9,7275,2141.6,1781,4243.9,4079.1,1597.9,1728.6,850.6,869.1,1.41161e+06
Yale_50619,5201.4,6138.4,8190,7498.4,4183.2,4815.4,6011.2,6336.6,1256.7,1670.6,5191.8,4890.4,1734.1,2159.1,1127.2,907.7,1.59947e+06
Yale_50620,2799.6,3077.2,5987.8,6376.2,3409.5,3386.6,6458.1,5964.4,1543,1284.7,4186.8,4344.5,1690.2,1647.4,493.4,620.1,1.20213e+06
Yale_50621,2968.4,3016.2,6876.7,7575.9,3297.5,3741.8,7303.1,6479.4,1732.7,1521.9,4811,4908.6,1729.6,1777.7,793.2,620.8,1.26822e+06
Yale_50622,10768,8894.4,6620.1,6635.4,4556.9,4648.6,7930.3,7544.4,2054.9,1844,4611.9,4588,1880.5,1925.6,977.9,978.5,1.33999e+06
Yale_50623,3545.3,2856.1,8151.8,7707.4,3684.2,3817,7074.4,7244.2,1436.9,1681.6,4701.7,4648.4,1724.2,1950.2,894.7,715.4,1.4126e+06
Yale_50624,4070.7,3413.7,6225.9,5978.3,3290.4,3648.3,6451.1,6453.5,1698.5,1612.1,4479.7,4544.4,1480.8,1847.6,636.4,696.5,1.13994e+06
Yale_50625,4124.2,4002.2,5765.8,6109.4,3844.7,4025.1,6116.1,5234.2,1852.9,1980.3,4331.6,3831.9,1669.2,1642.1,846.8,774.9,1.31102e+06
Yale_50626,6871.7,7496.6,7914.8,7516.9,4598.2,4947.2,6445.6,6853.8,1656.2,1651.4,4590.8,4455.3,2420.5,2340.5,952.3,815.4,1.64596e+06
Yale_50627,7069.9,4647.6,6933.5,6172,3957.3,4073.1,7383.4,6730.6,1693,1654.9,4161.4,4235.5,1523.6,1541,753.9,674.5,1.30825e+06
Yale_50628,3887.2,3326.7,7056.4,6817.7,3760.7,3772.2,6462.1,6816.3,1571.6,1524.5,4598.3,4221.1,2050.2,2340,951.3,809,1.36739e+06
